engineId,timeCycles,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,failure,initCycles
34,195,643.94,1597.74,1434.09,551.46,2388.17,9162.57,48.33,520.01,2388.14,8230.84,8.5014,397,38.36,22.9984,1,194
35,181,643.91,1600.31,1431.5,551.16,2388.24,9098.3,48.08,519.84,2388.25,8166.97,8.5153,396,38.44,23.0205,1,180
36,158,643.31,1606.6,1432.33,551.7,2388.28,9051.21,48.26,519.4,2388.31,8124.67,8.5327,396,38.39,22.9915,1,157
37,170,643.85,1603.36,1425.87,551.28,2388.29,9038.73,48.4,519.15,2388.27,8116.79,8.5559,396,38.37,23.1615,1,169
38,194,643.95,1606.9,1426.16,551.67,2388.26,9156.77,48.52,520.07,2388.16,8217.94,8.5574,397,38.35,23.001,1,193
39,128,643.66,1604.19,1428.14,550.68,2388.3,9036.1,48.27,518.83,2388.31,8106.63,8.5148,395,38.5,23.0281,1,127
40,188,643.87,1611.92,1432.96,551.08,2388.23,9142.42,48.03,520.33,2388.25,8202.76,8.535,397,38.37,23.1022,1,187
41,216,643.51,1603.91,1428.74,551.53,2388.16,9152.86,48.34,520.07,2388.17,8214.55,8.4999,398,38.25,23.1237,1,215
42,196,643.34,1597.41,1427.68,551.04,2388.29,9066.91,47.97,519.68,2388.26,8133.97,8.5161,395,38.43,22.995,1,195
43,207,643.99,1599.57,1427.53,550.73,2388.37,9035,48.03,519.37,2388.3,8113.24,8.4916,397,38.44,22.9936,1,206
44,192,643.95,1608.5,1438.96,552.03,2388.17,9079.75,48.05,519.87,2388.23,8155.1,8.5266,396,38.39,22.9435,1,191
45,158,643.7,1598.55,1437.88,551.59,2388.23,9095.15,48.29,519.83,2388.23,8160.09,8.5497,396,38.22,23.0342,1,157
46,220,643.34,1590.47,1422.97,552.48,2388.21,9053.31,47.73,520.68,2388.19,8131.88,8.4823,393,38.62,23.2802,0,219
47,214,643.5,1602.64,1433.3,551.7,2388.21,9107.27,48.28,519.72,2388.22,8176.36,8.5238,395,38.48,23.1299,1,213
48,220,643.43,1600.6,1418.94,553.21,2388.06,9187.13,47.8,521,2388.06,8250.12,8.4868,396,38.52,23.1516,0,219
49,215,644.2,1593.84,1433.24,550.72,2388.26,9058.19,48.26,519.25,2388.3,8138.39,8.5046,396,38.46,23.0171,1,214
50,198,643.83,1608.2,1433.88,552.06,2388.2,9128.91,48.01,520,2388.25,8200.2,8.5002,396,38.43,23.1086,1,197
51,213,644.11,1606.6,1428.55,551.6,2388.56,9244.59,47.89,520.2,2388.54,8293.72,8.5306,397,38.39,23.0958,1,212
52,213,643.67,1601.99,1436.34,552.28,2388.18,9119.4,48.18,519.23,2388.21,8181.73,8.5159,397,38.35,23.015,1,212
53,195,644.18,1612.63,1423.19,552.53,2388.14,9162.47,48.18,519.68,2388.17,8230.96,8.5196,396,38.32,23.0419,1,194
54,220,642.75,1594.81,1414.54,552.57,2388.09,9106.26,47.63,521.76,2388.08,8183.37,8.4773,396,38.91,23.2725,0,219
55,193,644.01,1605.12,1433.56,551.8,2388.14,9202.75,48.19,520.36,2388.16,8257.58,8.531,397,38.49,23.1604,1,192
56,220,642.89,1599.72,1411.24,552.63,2388.14,9093.39,47.64,521.06,2388.15,8170.03,8.4904,394,38.78,23.1517,0,219
57,137,644.15,1596.45,1432.49,550.95,2388.32,9036.5,48.26,519.07,2388.28,8108.28,8.5533,394,38.24,23.0412,1,136
58,147,643.75,1593.77,1438.22,551.29,2388.28,9047.79,48.33,519.77,2388.33,8119.76,8.519,395,38.29,23.185,1,146
59,220,643.84,1602.08,1417.58,551.62,2388.23,9061.17,47.95,520.26,2388.23,8140.33,8.5077,396,38.39,23.145,0,219
60,172,643.62,1605.19,1434.09,551.21,2388.18,9141.47,48.04,520.44,2388.22,8205.47,8.5322,396,38.23,22.954,1,171
61,185,643.39,1604.83,1426,551.12,2388.26,9038.93,48.23,519.82,2388.27,8109.39,8.519,397,38.34,22.984,1,184
62,180,643.49,1595.1,1427.51,551.09,2388.28,9037.02,48.16,519.68,2388.31,8123.28,8.5442,396,38.35,23.0042,1,179
63,174,643.43,1603.87,1424.72,551.7,2388.16,9175.01,48.21,520.16,2388.16,8239.45,8.5265,397,38.31,23.2228,1,173
64,220,643.16,1593.21,1419.41,552.47,2388.15,9079.33,47.81,520.56,2388.12,8149.54,8.497,395,38.84,23.2531,0,219
65,153,643.95,1592.45,1432.83,551.19,2388.28,9030.23,48.08,519.73,2388.34,8109.49,8.5197,396,38.37,23.1362,1,152
66,202,643.88,1607.66,1429.38,551.53,2388.23,9071.25,48.19,519.38,2388.25,8147.9,8.5382,396,38.38,23.1412,1,201
67,220,643.29,1595.18,1409.98,552.38,2388.09,9068.05,47.46,522.12,2388.14,8145.78,8.4533,394,38.85,23.2304,0,219
68,199,643.88,1609.59,1430.17,551.47,2388.2,9158.41,48.16,519.72,2388.14,8226.34,8.5196,395,38.4,23.0888,1,198
69,220,642.68,1593.69,1405.96,553.04,2388.11,9053.83,47.58,521.67,2388.12,8140.07,8.4244,392,38.76,23.256,0,219
70,137,643.39,1602.76,1434.81,551.64,2388.17,9106.12,48.16,519.6,2388.25,8173.73,8.5312,396,38.49,23.1398,1,136
71,208,643.57,1599.94,1437.81,551.45,2388.18,9153.73,48.02,520.04,2388.19,8225.07,8.5197,397,38.25,22.9967,1,207
72,213,643.91,1597.72,1427.84,550.89,2388.32,9033.07,48.17,519.48,2388.36,8103.27,8.5519,395,38.46,23.1649,1,212
73,213,643.54,1599.16,1428.84,551.62,2388.28,9041.6,48.12,519.7,2388.35,8114.48,8.5434,396,38.54,23.0257,1,212
74,166,643.29,1604.39,1431.14,550.35,2388.3,9056.35,48.07,519.52,2388.25,8123.87,8.5309,398,38.36,22.9906,1,165
75,220,643.83,1600.76,1431.75,551.4,2388.31,9037.06,48.11,519.88,2388.32,8112.19,8.496,396,38.51,23.0755,0,219
76,210,643.67,1598.61,1432.07,550.94,2388.27,9056.85,48.24,519.41,2388.28,8131.33,8.5253,396,38.5,23.0671,1,209
77,154,643.49,1601.95,1423.58,551.86,2388.27,9074.92,48.08,519.38,2388.24,8148.51,8.5105,399,38.29,23.0154,1,153
78,220,643.39,1594.57,1422.61,552.31,2388.16,9084.74,47.88,520.51,2388.17,8161.68,8.4793,395,38.52,23.0641,0,219
79,199,643.57,1598.35,1436.93,551,2388.26,9095.97,48.2,519.62,2388.21,8165.3,8.5273,397,38.4,23.1076,1,198
80,185,643.88,1606.38,1421.41,551.55,2388.22,9170.57,48.05,520,2388.18,8229.73,8.525,397,38.35,23.0323,1,184
81,220,642.95,1595.53,1419.81,552.31,2388.22,9063.35,47.84,520.19,2388.21,8134.14,8.4536,397,38.77,23.1548,0,219
82,214,643.73,1601.66,1427.73,551.57,2388.16,9215.59,48.3,520.01,2388.16,8267.9,8.5222,399,38.56,23.0292,1,213
83,220,643.23,1598.3,1406.62,553.25,2388.11,9057.51,47.3,521.36,2388.11,8139.84,8.4032,393,39.02,23.3533,0,219
84,220,643.41,1589.45,1424.73,552.82,2388.18,9058.21,47.76,520.43,2388.22,8138.75,8.4574,395,38.68,23.1748,0,219
85,188,643.64,1603.1,1434.88,551.23,2388.28,9050.97,48.17,519.61,2388.3,8124.14,8.4977,396,38.61,22.9752,1,187
86,220,643.39,1596.03,1417.21,552.54,2388.11,9073.71,48.06,520.84,2388.13,8150.31,8.4669,395,38.58,23.3473,0,219
87,178,643.44,1597.69,1433.25,551.24,2388.32,9050.62,48.11,519.79,2388.31,8121.08,8.5082,397,38.61,23.074,1,177
88,213,643.65,1602.86,1431.92,551.76,2388.13,9149.8,48.4,519.95,2388.19,8212.51,8.5067,397,38.45,22.9829,1,212
89,217,643.18,1603.61,1431.32,551.03,2388.17,9081.82,48.39,519.86,2388.22,8154.8,8.4936,397,38.19,23.09,1,216
90,154,643.6,1598.79,1434.02,550.77,2388.32,9032.34,48.4,519.31,2388.34,8110.86,8.5637,395,38.44,23.0727,1,153
91,135,644.04,1607.23,1432.29,550.69,2388.27,9047.27,48.31,519.06,2388.26,8115.44,8.5228,396,38.53,23.0902,1,134
92,220,642.5,1586.91,1405.2,553.66,2388.08,9066.89,47.52,521.02,2388.03,8147.19,8.4307,392,38.85,23.3068,0,219
93,155,643.45,1603.62,1428.64,550.75,2388.21,9068.93,48.2,519.35,2388.26,8137,8.488,396,38.44,23.1179,1,154
94,220,642.8,1591.17,1421.27,552.52,2388.16,9095.01,47.93,520.26,2388.22,8170.13,8.519,395,38.66,23.1685,0,219
95,220,642.59,1591.11,1410.51,553.5,2388.08,9087.78,47.53,520.99,2388.07,8166.16,8.429,393,38.86,23.1862,0,219
96,220,642.18,1589.6,1407.02,553.43,2388.15,9058.46,47.36,521.65,2388.06,8134.97,8.4345,393,38.74,23.2151,0,219
97,202,643.79,1610.66,1427.41,551.55,2388.15,9208.02,47.94,519.91,2388.15,8263.63,8.5277,397,38.29,23.1184,1,201
98,156,643.02,1603.77,1432.16,551.52,2388.24,9058.54,48.29,519.55,2388.26,8122.22,8.5308,396,38.33,23.1137,1,155
99,185,643.93,1598.42,1421.56,550.64,2388.29,9050.61,48.29,519.99,2388.24,8127.53,8.5425,397,38.49,23.1931,1,184
100,200,643.85,1600.38,1432.14,550.79,2388.26,9061.48,48.2,519.3,2388.26,8137.33,8.5036,396,38.37,23.0522,1,199
